Iteration, Key Generation Time (microseconds), Shared Secret Time (microseconds), AES Encryption Time (microseconds), Key Generation Time (microseconds), Shared Secret Time (microseconds), AES Decryption Time (microseconds)
76,2532.958984,8533.000946,126.123428,2532.958984,8533.000946,26.226044
77,2517.938614,8718.013763,123.977661,2517.938614,8718.013763,25.749207
78,2492.189407,8509.874344,122.070312,2492.189407,8509.874344,26.941299
79,2511.978149,8642.673492,120.162964,2511.978149,8642.673492,26.226044
80,2539.157867,8657.932281,112.295151,2539.157867,8657.932281,27.179718
81,2480.745316,8661.985397,153.779984,2480.745316,8661.985397,27.179718
82,2499.818802,8622.884750,126.123428,2499.818802,8622.884750,26.226044
83,2483.129501,8600.234985,133.752823,2483.129501,8600.234985,26.941299
84,2503.871918,8702.993393,124.931335,2503.871918,8702.993393,28.133392
85,2436.161041,8579.015732,113.964081,2436.161041,8579.015732,26.941299
86,2544.164658,8549.690247,128.984451,2544.164658,8549.690247,27.179718
87,2513.170242,8304.119110,122.070312,2513.170242,8304.119110,27.179718
88,2499.103546,8467.912674,119.686127,2499.103546,8467.912674,26.702881
89,2554.178238,8601.188660,124.931335,2554.178238,8601.188660,26.941299
90,2640.008926,8435.964584,123.023987,2640.008926,8435.964584,27.894974
91,2502.202988,8378.744125,111.818314,2502.202988,8378.744125,27.894974
92,2649.068832,8594.989777,128.030777,2649.068832,8594.989777,26.702881
93,2514.362335,8613.824844,126.123428,2514.362335,8613.824844,27.894974
94,2504.110336,8518.934250,123.739243,2504.110336,8518.934250,27.894974
95,2494.812012,8553.028107,125.169754,2494.812012,8553.028107,26.941299
96,2522.230148,8951.902390,142.097473,2522.230148,8951.902390,27.179718
97,2799.749374,9616.136551,128.984451,2799.749374,9616.136551,45.061111
98,2769.231796,9480.953217,121.116638,2769.231796,9480.953217,26.226044
99,2493.858337,8342.027664,121.116638,2493.858337,8342.027664,25.749207
100,2487.897873,8575.916290,113.248825,2487.897873,8575.916290,25.987625
